Disease Name,Short Description,General Precautions,Recommended Doctor / Specialist
soft tissue sarcoma,soft tissue sarcoma — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Medical oncologist; Oncologist; Surgical oncologist
bone disorder,bone disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Orthopedic surgeon
epilepsy,epilepsy — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
personality disorder,personality disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Psychiatrist / Psychologist
shingles (herpes zoster),shingles (herpes zoster) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
tourette syndrome,tourette syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
avascular necrosis,avascular necrosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Orthopedic surgeon
strep throat,strep throat — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist); Infectious disease specialist
spinocerebellar ataxia,spinocerebellar ataxia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
osteomyelitis,osteomyelitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Orthopedic surgeon
sjogren syndrome,sjogren syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
adhesive capsulitis of the shoulder,adhesive capsulitis of the shoulder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
viral hepatitis,viral hepatitis — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Hepatologist / Gastroenterologist; Infectious disease specialist
tonsillar hypertrophy,tonsillar hypertrophy — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist); Endocrinologist
gastritis,gastritis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
skin cancer,skin cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Dermatologist; Medical oncologist; Oncologist; Surgical oncologist
